Accuracy,Precision,Recall,F1-score,ROC AUC,Jaccard Similarity Coefficient,epoch
0.861,0.8753018540190988,0.8280310102832233,0.8200621170622109,0.11291666666666664,0.002506265664160401,50
0.866,0.8867702302126667,0.8315608338875151,0.8266269645326625,0.12161585365853654,0.002506265664160401,100
0.809,0.7915365953813548,0.7900895405003963,0.7786849599766132,0.18740514905149053,0.002506265664160401,150
0.859,0.8697100335474566,0.8253852372627802,0.8209907783146356,0.12366869918699183,0.002506265664160401,200
0.859,0.8682457602149707,0.8339240333013433,0.8323204404653041,0.133970189701897,0.002506265664160401,250
0.837,0.8631246469119602,0.7982448912410087,0.7788527240915359,0.10569105691056911,0.002506265664160401,300
0.857,0.8554856571026168,0.8242329799844166,0.8191050398199244,0.12937669376693764,0.002506265664160401,350
0.87,0.8603558644281305,0.8411187342622348,0.8387606897911827,0.13883130081300812,0.002506265664160401,400
0.841,0.823662419363208,0.8191045113710123,0.8203130676431518,0.21242886178861786,0.002506265664160401,450
0.858,0.842601621377508,0.8349402612021031,0.8339779569262118,0.17639566395663958,0.002506265664160401,500
0.852,0.8690524303086038,0.8162423021836751,0.8105421207045094,0.13156504065040645,0.002506265664160401,550
0.855,0.8422575501889125,0.8294547953642532,0.8324212771513022,0.19380758807588078,0.002506265664160401,600
0.782,0.7760178478843562,0.773544378340853,0.7650068912337754,0.2421070460704607,0.002506265664160401,650
0.856,0.8562886346280638,0.8254987794728438,0.8275137249289273,0.16730013550135503,0.002506265664160401,700
0.868,0.8562637141780145,0.8418214984011693,0.8429437204327035,0.1696951219512195,0.002506265664160401,750
0.858,0.8466813740834818,0.8332180535810757,0.8349085790623711,0.18574186991869923,0.002506265664160401,800
0.873,0.8735075752274992,0.844731912769807,0.8427645286927739,0.13329607046070457,0.002506265664160401,850
0.859,0.8426508016974859,0.8356732272490154,0.837070635818916,0.18717818428184285,0.002506265664160401,900
0.779,0.7750776691498341,0.7709849036918457,0.7675580164934617,0.26193766937669377,0.002506265664160401,950
0.843,0.8282596480509998,0.815627027740943,0.8184732025865031,0.2075508130081301,0.002506265664160401,1000
0.781,0.7947275712362956,0.7583111806658941,0.7638940448608862,0.2502235772357723,0.002506265664160401,1050
0.854,0.8378622661303788,0.8273081562274761,0.8286470123887183,0.17234756097560977,0.002506265664160401,1100
0.861,0.8471932516259606,0.8348282839746576,0.8315667763428942,0.1497120596205962,0.002506265664160401,1150
0.87,0.8823718942869654,0.8402749444822748,0.8368581206177114,0.125210027100271,0.002506265664160401,1200
0.751,0.7760312302577936,0.7605953285467961,0.750022058154222,0.31263550135501356,0.002506265664160401,1250
0.794,0.7862676594019421,0.785965138983465,0.7770102267422427,0.23580623306233062,0.002506265664160401,1300
0.865,0.8566607486075037,0.8344105338329596,0.8313346480978436,0.13293021680216802,0.002506265664160401,1350
0.784,0.7886639619918312,0.7762842016398469,0.770495259810456,0.2517682926829268,0.002506265664160401,1400
0.87,0.8799412681488059,0.8380430363583027,0.8346577285637974,0.12161246612466121,0.002506265664160401,1450
0.865,0.8563857776211437,0.837340114260987,0.8378072706409834,0.15895663956639566,0.002506265664160401,1500
0.872,0.8663979814511729,0.8432984703257261,0.8407206156834496,0.1233570460704607,0.002506265664160401,1550
0.87,0.8637838662534738,0.8420107577621943,0.8422735728511398,0.14976287262872628,0.002506265664160401,1600
0.831,0.8205312420532781,0.8050181466305089,0.809687266008719,0.19375677506775074,0.002506265664160401,1650
0.868,0.8472597418023551,0.8437315968530443,0.8438322933634727,0.18159891598915992,0.002506265664160401,1700
0.871,0.8589315652894257,0.8429915963486394,0.8431519107015226,0.1490108401084011,0.002506265664160401,1750
0.833,0.8732676042932903,0.7919870932073915,0.7706375849778839,0.11010840108401082,0.002506265664160401,1800
0.877,0.875952417043875,0.8476803101559275,0.8451356245433134,0.12489837398373982,0.002506265664160401,1850
0.178,0.3895015186707165,0.22860178426601782,0.10604348212561572,0.5561043360433604,0.0015022533800701052,1900
0.874,0.8749884224775524,0.8457899949957722,0.8442355129990405,0.1324322493224932,0.002506265664160401,1950
0.874,0.8613671626326738,0.8468705265589099,0.8479376756642638,0.151880081300813,0.002506265664160401,2000
0.873,0.8626299972083663,0.845131779766195,0.8441859808226946,0.14622967479674798,0.002506265664160401,2050
