class_pred,class_real,real_fake_pred,class_name_real,class_name_pred
2,2,0.4088399,EAS,EAS
4,4,0.56101805,AFR,AFR
3,0,0.072245084,AMR,EUR
1,1,0.35964766,SAS,SAS
4,4,0.9816974,AFR,AFR
0,0,0.5954491,AMR,AMR
2,2,0.4199974,EAS,EAS
1,1,0.27847883,SAS,SAS
3,3,0.5692397,EUR,EUR
2,2,0.008137843,EAS,EAS
4,4,0.7935556,AFR,AFR
1,1,0.51344424,SAS,SAS
2,2,0.06596622,EAS,EAS
3,3,0.5455039,EUR,EUR
4,4,0.8603615,AFR,AFR
3,0,0.06239512,AMR,EUR
4,4,0.7814092,AFR,AFR
1,1,0.9314556,SAS,SAS
1,1,0.88514674,SAS,SAS
4,4,0.86062604,AFR,AFR
4,4,0.46025553,AFR,AFR
2,2,0.39836526,EAS,EAS
1,1,0.25477836,SAS,SAS
1,1,0.36173806,SAS,SAS
1,2,0.19110343,EAS,SAS
0,3,0.5292212,EUR,AMR
0,0,0.30347338,AMR,AMR
4,4,0.9431705,AFR,AFR
0,3,0.38673502,EUR,AMR
3,3,0.61380565,EUR,EUR
4,4,0.86379325,AFR,AFR
2,2,0.55216813,EAS,EAS
1,1,0.18581489,SAS,SAS
4,4,0.31312925,AFR,AFR
4,4,0.9335887,AFR,AFR
0,0,0.7196618,AMR,AMR
0,0,0.12966245,AMR,AMR
1,2,0.36735734,EAS,SAS
0,1,0.38656697,SAS,AMR
4,4,0.9767245,AFR,AFR
0,0,0.287623,AMR,AMR
4,4,0.9002961,AFR,AFR
4,4,0.9651218,AFR,AFR
4,4,0.7559254,AFR,AFR
3,3,0.016854033,EUR,EUR
1,3,0.04108585,EUR,SAS
0,0,0.64186597,AMR,AMR
2,2,0.641424,EAS,EAS
1,1,0.18846622,SAS,SAS
2,2,0.2554079,EAS,EAS
3,3,0.8131104,EUR,EUR
4,4,0.5661882,AFR,AFR
1,0,0.19327722,AMR,SAS
4,4,0.9594305,AFR,AFR
2,2,0.051518474,EAS,EAS
0,3,0.8429687,EUR,AMR
1,3,0.12162113,EUR,SAS
4,4,0.15330799,AFR,AFR
2,2,0.015975375,EAS,EAS
2,2,0.19247022,EAS,EAS
1,1,0.63116896,SAS,SAS
0,0,0.5867153,AMR,AMR
0,0,0.8674159,AMR,AMR
4,4,0.85495543,AFR,AFR
4,4,0.58113223,AFR,AFR
1,1,0.3259974,SAS,SAS
0,0,0.07865379,AMR,AMR
1,0,0.16579442,AMR,SAS
2,2,0.5527677,EAS,EAS
1,1,0.22681707,SAS,SAS
2,2,0.13320391,EAS,EAS
3,3,0.85051817,EUR,EUR
1,1,0.41853997,SAS,SAS
1,1,0.46307835,SAS,SAS
2,2,0.20153429,EAS,EAS
4,4,0.88788843,AFR,AFR
2,2,0.55997545,EAS,EAS
0,0,0.9617656,AMR,AMR
3,0,0.3258727,AMR,EUR
4,4,0.3412285,AFR,AFR
1,1,0.9253775,SAS,SAS
4,4,0.73428476,AFR,AFR
1,1,0.18699348,SAS,SAS
2,2,0.048195794,EAS,EAS
1,1,0.16735338,SAS,SAS
3,3,0.6239348,EUR,EUR
4,4,0.6971898,AFR,AFR
1,1,0.6854977,SAS,SAS
1,1,0.26620787,SAS,SAS
0,3,0.16329642,EUR,AMR
2,2,0.021341942,EAS,EAS
1,1,0.13851866,SAS,SAS
0,0,0.20058167,AMR,AMR
3,3,0.7045213,EUR,EUR
1,0,0.8624017,AMR,SAS
2,2,0.3181353,EAS,EAS
2,2,0.035237227,EAS,EAS
2,2,0.10215174,EAS,EAS
2,2,0.1661184,EAS,EAS
1,3,0.07285234,EUR,SAS
4,4,0.9120542,AFR,AFR
1,1,0.5320278,SAS,SAS
4,4,0.93633956,AFR,AFR
0,0,0.16052584,AMR,AMR
1,3,0.13433036,EUR,SAS
3,3,0.33914325,EUR,EUR
3,0,0.5767413,AMR,EUR
3,3,0.75122845,EUR,EUR
4,4,0.14723729,AFR,AFR
3,0,0.35060295,AMR,EUR
3,0,0.084178925,AMR,EUR
0,0,0.37886408,AMR,AMR
1,3,0.009639414,EUR,SAS
4,4,0.6880051,AFR,AFR
2,2,0.2932142,EAS,EAS
1,3,0.68585193,EUR,SAS
4,4,0.9382264,AFR,AFR
2,2,0.021205265,EAS,EAS
3,3,0.4234987,EUR,EUR
0,3,0.69775563,EUR,AMR
4,4,0.90164196,AFR,AFR
2,2,0.15893452,EAS,EAS
1,3,0.044049185,EUR,SAS
4,4,0.96151745,AFR,AFR
0,0,0.80068845,AMR,AMR
2,2,0.9354487,EAS,EAS
4,4,0.97221214,AFR,AFR
4,4,0.8404311,AFR,AFR
3,1,0.6866747,SAS,EUR
0,0,0.3973981,AMR,AMR
4,4,0.6503017,AFR,AFR
2,2,0.4827069,EAS,EAS
4,4,0.90244675,AFR,AFR
2,2,0.047055002,EAS,EAS
4,0,0.54182196,AMR,AFR
1,1,0.42935455,SAS,SAS
0,0,0.15963504,AMR,AMR
2,2,0.13475922,EAS,EAS
0,0,0.5696587,AMR,AMR
0,3,0.30261156,EUR,AMR
3,0,0.70356023,AMR,EUR
1,1,0.06542332,SAS,SAS
4,4,0.51000917,AFR,AFR
4,4,0.93253684,AFR,AFR
4,4,0.07975888,AFR,AFR
4,4,0.69674605,AFR,AFR
3,0,0.83545446,AMR,EUR
0,0,0.30522996,AMR,AMR
1,2,0.42606863,EAS,SAS
4,4,0.2019575,AFR,AFR
4,4,0.7880215,AFR,AFR
4,4,0.70947826,AFR,AFR
3,3,0.3078881,EUR,EUR
2,2,0.10925736,EAS,EAS
4,4,0.90133536,AFR,AFR
2,2,0.07765268,EAS,EAS
