Accuracy,Precision,Recall,F1-score,ROC AUC,Jaccard Similarity Coefficient,epoch
0.859,0.8716843637955396,0.8255534018793066,0.8209432298348782,0.13210365853658534,0.002506265664160401,50
0.838,0.8520258986114359,0.8076070380414222,0.7957226745136439,0.1215040650406504,0.002506265664160401,100
0.837,0.8215051384145591,0.8088086101918994,0.8002929648011368,0.1441971544715447,0.002506265664160401,150
0.828,0.8149048467972045,0.8169801954701784,0.8131755031329801,0.23328590785907855,0.002506265664160401,200
0.828,0.80940474607248,0.8011984952804957,0.8007901014324317,0.2219918699186992,0.002506265664160401,250
0.762,0.7807553891591403,0.7574883104160942,0.749206519439478,0.21707317073170732,0.002506265664160401,300
0.848,0.849941808585841,0.8236840374427732,0.8238624037066049,0.15983739837398375,0.002506265664160401,350
0.827,0.8168329753824007,0.8050679738718255,0.807083594928104,0.23927506775067747,0.002506265664160401,400
0.846,0.8544100862572475,0.8124670703233369,0.8042638637059694,0.12567073170731705,0.002506265664160401,450
0.779,0.7351420050163695,0.7444636330693172,0.7258237168693611,0.1563211382113821,0.002506265664160401,500
0.861,0.8426940669016474,0.8368507333118298,0.8360777599969023,0.16372628726287267,0.002506265664160401,550
0.823,0.8068566385954948,0.7987089085872282,0.7975256094170287,0.19643292682926827,0.002506265664160401,600
0.852,0.8371509024236994,0.8267168191164153,0.8277738259225531,0.18086382113821142,0.002506265664160401,650
0.843,0.8477360356938934,0.8181783761612926,0.8185037785889129,0.14560975609756097,0.002506265664160401,700
0.767,0.7606399655728757,0.7502527818594754,0.7491012125617502,0.23181910569105693,0.002506265664160401,750
0.846,0.8404424968912296,0.8225419352954685,0.8225662947037353,0.1622628726287263,0.002506265664160401,800
0.857,0.8342487604835332,0.8353450288904553,0.8347348201339058,0.20113143631436317,0.002506265664160401,850
0.781,0.8003909991723015,0.7772519422907683,0.7744007483174999,0.175199864498645,0.002506265664160401,900
0.868,0.8614152861766282,0.8402939240445841,0.8400738243993849,0.1488211382113821,0.002506265664160401,950
0.773,0.7960622758142426,0.7711746601571885,0.7693676252225966,0.1808468834688347,0.002506265664160401,1000
0.607,0.7054043353405973,0.6422137774220396,0.6115784942620286,0.24003048780487804,0.002506265664160401,1050
0.831,0.8329117980995608,0.803815774732765,0.799899227882982,0.15308604336043363,0.002506265664160401,1100
0.721,0.8015943446824473,0.7343296478590002,0.7290620730544809,0.16940040650406504,0.002506265664160401,1150
0.856,0.8349720766532999,0.8313238671131977,0.8308839037455715,0.1862567750677507,0.002506265664160401,1200
0.852,0.8420133399718729,0.8241194663130521,0.8240673944853263,0.16076219512195122,0.002506265664160401,1250
0.856,0.8380690234169531,0.8277673067299561,0.8268265534284349,0.16420731707317074,0.002506265664160401,1300
0.84,0.8232304390897693,0.8134194923297269,0.8149682646241214,0.19660230352303526,0.002506265664160401,1350
0.852,0.8252774090875613,0.8266926806864685,0.8245146301411805,0.18292344173441732,0.002506265664160401,1400
