Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
0.0,0.0,0.0,0.3333,0.1403,0.3809,0.3516,0.3513,0.2154,0.1558,0.0,"0
0%",KNN,0.2857142857142857,0.2755521522438816
1.0,1.0,1.0,0.1429,0.0,0.5333,0.3448,0.4259,0.2727,0.2712,0.0,"0
0%",SVC,0.3233082706766917,0.2844082431040767
2.0,2.0,3.0,0.2716,0.1429,0.3855,0.3656,0.3467,0.2388,0.2078,0.1,"105
10%",KNN,0.2894736842105263,0.2798372131801481
3.0,3.0,4.0,0.1111,0.1026,0.5275,0.3871,0.404,0.3243,0.2832,0.1,"105
10%",SVC,0.3345864661654135,0.3056850120591403
4.0,4.0,6.0,0.2927,0.1695,0.5217,0.3441,0.3333,0.2812,0.1429,0.2,"211
20%",KNN,0.3120300751879699,0.297920011483376
5.0,5.0,7.0,0.1754,0.0526,0.5,0.3793,0.383,0.2817,0.2542,0.2,"211
20%",SVC,0.3157894736842105,0.2894695246644431
6.0,6.0,9.0,0.2278,0.1224,0.4565,0.3917,0.3662,0.1967,0.1687,0.3,"316
30%",KNN,0.2932330827067669,0.2757377986681234
7.0,7.0,10.0,0.1818,0.05,0.5435,0.4375,0.4301,0.3377,0.2883,0.3,"316
30%",SVC,0.3533834586466165,0.324122085074299
8.0,8.0,12.0,0.2535,0.1923,0.4681,0.375,0.35,0.1765,0.1408,0.4,"422
40%",KNN,0.2969924812030075,0.2794613691584376
9.0,9.0,13.0,0.2069,0.0526,0.4842,0.3692,0.4419,0.2963,0.2752,0.4,"422
40%",SVC,0.3308270676691729,0.3037650779184008
10.0,10.0,15.0,0.2192,0.2182,0.4421,0.4176,0.282,0.2222,0.2078,0.5,"528
50%",KNN,0.3007518796992481,0.2870161847399462
11.0,11.0,16.0,0.2034,0.0526,0.5417,0.3881,0.4494,0.35,0.2718,0.5,"528
50%",SVC,0.3533834586466165,0.3224329485794875
12.0,12.0,18.0,0.2424,0.2545,0.5,0.375,0.32,0.1765,0.1389,0.6,"633
60%",KNN,0.3045112781954887,0.28676131058484
13.0,13.0,19.0,0.1695,0.0,0.5252,0.3871,0.4545,0.3457,0.25,0.6,"633
60%",SVC,0.3383458646616541,0.304580755965848
14.0,14.0,21.0,0.2609,0.2593,0.5053,0.4078,0.3684,0.2154,0.1429,0.7,"739
70%",KNN,0.3270676691729323,0.3085459690765695
15.0,15.0,22.0,0.1786,0.05,0.5155,0.3881,0.439,0.3373,0.2804,0.7,"739
70%",SVC,0.3421052631578947,0.3126918095999577
16.0,16.0,24.0,0.1944,0.2963,0.5161,0.404,0.4156,0.1613,0.24,0.8,"844
80%",KNN,0.3345864661654135,0.3182549878863243
17.0,17.0,25.0,0.2034,0.0,0.5714,0.4375,0.4762,0.3373,0.3048,0.8,"844
80%",SVC,0.3684210526315789,0.3329457400685412
18.0,18.0,27.0,0.2703,0.2593,0.505,0.3958,0.3896,0.2,0.1389,0.9,"950
90%",KNN,0.3270676691729323,0.3084160923446638
19.0,19.0,28.0,0.1967,0.0488,0.5346,0.4062,0.439,0.3373,0.28,0.9,"950
90%",SVC,0.3496240601503759,0.3203970074944409
20.0,20.0,30.0,0.2571,0.2264,0.5102,0.4,0.4197,0.1786,0.1622,1.0,"1056
100%",KNN,0.3308270676691729,0.3077498157526395
21.0,21.0,31.0,0.2,0.0476,0.5631,0.3939,0.4691,0.2963,0.303,1.0,"1056
100%",SVC,0.3571428571428571,0.324732519924383
